number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta_ratio,params_epsilon_decay_steps,params_epsilon_end,params_epsilon_start,params_gamma,params_lambda,params_mu,params_trace_length,state
81,832.5582656834229,2026-05-24 16:14:40.092698,2026-05-24 16:14:54.041647,0 days 00:00:13.948949,0.04175607347502795,23.710174282308802,19719,0.04919620540257238,0.7486138199256728,0.9080836410118602,0.7653675496809774,0.5817588037780714,387,COMPLETE
82,834.5098710070313,2026-05-24 16:14:43.995535,2026-05-24 16:15:01.234442,0 days 00:00:17.238907,0.042400736708287576,23.52016420666751,19806,0.012790209097929247,0.7521106892413957,0.9062354275024045,0.7644570232112409,0.644566495901274,393,COMPLETE
83,1117.4186166438844,2026-05-24 16:14:50.697562,2026-05-24 16:15:02.644552,0 days 00:00:11.946990,0.057969082472625284,24.81453974101251,19835,0.017065327960340257,0.9924328348707281,0.9121918584729575,0.762525592291028,0.3946336220616685,311,COMPLETE
84,1117.7247981507148,2026-05-24 16:14:50.698981,2026-05-24 16:15:05.779587,0 days 00:00:15.080606,0.05628056300218974,24.846920937254474,19763,0.017168140052665187,0.9924833212713438,0.9146116809757822,0.7652002195901974,0.41306874541483496,302,COMPLETE
85,1115.1499206350406,2026-05-24 16:14:54.042822,2026-05-24 16:15:07.848663,0 days 00:00:13.805841,0.054199996282500995,24.839218862648167,18436,0.013017194191356678,0.9928294788726303,0.9123620278381219,0.7516993560376065,0.47857594143913634,307,COMPLETE
86,1116.9771047129582,2026-05-24 16:15:02.645393,2026-05-24 16:15:14.826662,0 days 00:00:12.181269,0.057718319598327586,24.685646773703198,18577,0.08130382604809822,0.9935520586723371,0.8929695552992767,0.7548401881780632,0.38912502240183755,402,COMPLETE
87,1117.065400874304,2026-05-24 16:15:02.646654,2026-05-24 16:15:11.324919,0 days 00:00:08.678265,0.05862917568612087,24.813374090143395,18415,0.09937521179900055,0.9916329181921146,0.9179965949646193,0.7477370555657785,0.3916639046973406,402,COMPLETE
88,1084.8883468892266,2026-05-24 16:15:06.794837,2026-05-24 16:15:21.800439,0 days 00:00:15.005602,0.05843226836583149,24.732571268821694,18614,0.01684585143318049,0.96465468074673,0.8931081415731565,0.8364795617936689,0.41779193607597465,338,COMPLETE
89,1084.7191184213918,2026-05-24 16:15:07.853919,2026-05-24 16:15:19.721099,0 days 00:00:11.867180,0.06091494786204338,25.020895507762095,18882,0.018290251661859866,0.9634938960721916,0.8922486116506982,0.8141891754329893,0.40529285501337137,365,COMPLETE
90,1085.5317905724055,2026-05-24 16:15:11.325795,2026-05-24 16:15:28.731012,0 days 00:00:17.405217,0.0609830021960621,24.36959127173566,18923,0.09333834157019699,0.9628736157836391,0.9208607092852028,0.7433480418097245,0.3897909926519799,340,COMPLETE
91,1086.0256536816291,2026-05-24 16:15:15.856374,2026-05-24 16:15:25.270637,0 days 00:00:09.414263,0.05923815871342018,24.459816097660113,16984,0.098262906418033,0.966651922920922,0.920146823104215,0.7394243057979619,0.31604611340683936,338,COMPLETE
92,1090.5317905724055,2026-05-24 16:15:20.060411,2026-05-24 16:15:33.369006,0 days 00:00:13.308595,0.06662301605706644,24.336015766509814,18874,0.09909080408188736,0.9667804135566826,0.9209745647084714,0.7436818168036681,0.3013393259902001,335,COMPLETE
93,1096.4849720647749,2026-05-24 16:15:21.801364,2026-05-24 16:15:39.268479,0 days 00:00:17.467115,0.06579438257154753,22.13492254267657,19932,0.09971335909542142,0.9700520636977079,0.9182624684524572,0.7877817451350053,0.3290513188740717,404,COMPLETE
94,1105.8358382863034,2026-05-24 16:15:25.272162,2026-05-24 16:15:36.164938,0 days 00:00:10.892776,0.048630988707629746,26.197233900241,19654,0.021654525490195337,0.9786238767693735,0.9160260644986801,0.7833166826769304,0.3563201286811705,411,COMPLETE
95,1117.284117485942,2026-05-24 16:15:28.732252,2026-05-24 16:15:43.151038,0 days 00:00:14.418786,0.06652194965999327,12.198724069209689,19657,0.08216490216553568,0.9922188642869462,0.9154980041713291,0.7840639023064768,0.5382865623117468,405,COMPLETE
96,1111.6609467420947,2026-05-24 16:15:34.057659,2026-05-24 16:15:47.684968,0 days 00:00:13.627309,0.0482873001799052,26.262715349017956,19993,0.08434222167533051,0.9818944923691026,0.914697911155218,0.7839752882285731,0.5303885053856191,371,COMPLETE
97,1119.4965888980907,2026-05-24 16:15:36.505048,2026-05-24 16:15:49.901978,0 days 00:00:13.396930,0.06904868494385971,22.277568308445467,19996,0.08492592775739294,0.9932282872373773,0.9123490134705677,0.6884393012394159,0.5256011089670904,301,COMPLETE
98,1117.47215247014,2026-05-24 16:15:39.275509,2026-05-24 16:15:53.559751,0 days 00:00:14.284242,0.047800278235251493,19.31490733268103,18303,0.0845711821818507,0.9928545133632639,0.9004196839040304,0.6977094829782925,0.5094330050200725,301,COMPLETE
99,1110.7696971716903,2026-05-24 16:15:43.152611,2026-05-24 16:15:57.051399,0 days 00:00:13.898788,0.05263113869869555,10.888853256523328,18423,0.08249211013438962,0.9837337404337445,0.9124725237361283,0.7715297292675826,0.5241965906075136,431,COMPLETE
